,Category,funding_source,confidence,responses
0,Arts Supplemental Funding through Fair Student Funding,multiple,0.8,".

multiple. the funding referenced in this school allocation memorandum no. 02, fy 2022 comes from multiple sources, including the city, state, and federal government. the money is already part of schools' fsf allocations and does not"
1,Arts Supplemental Funding through Fair Student Funding,multiple,0.8,".

multiple. the memorandum mentions that the change to the per capita amount for supplemental arts program in fy 2022 is a net increase from the fy 2021 per capita of $79.99 to $79.62. this money is already part of"
2,Arts Supplemental Funding through Fair Student Funding,multiple,0.8,".

multiple. the memorandum states that the funding is already part of schools' fsf allocations, and that it does not represent new funds. the reference to fsf allocations likely refers to funding from the state and/or federal government. the"
3,Arts Supplemental Funding through Fair Student Funding,multiple,0.8,".

multiple. the memorandum states that the arts supplemental funding comes from fair student funding (fsf) which is a combination of city, state, and federal government funds."
4,Arts Supplemental Funding through Fair Student Funding,multiple,0.8,"state. the memorandum states that the money is part of schools' fair student funding (fsf) allocations, which provides guidance for the allocation of state funds for nyc schools. furthermore, the memo mentions the change to the per capita amount for"
0,Career and Technical Education Supplement,multiple,1.0,".

multiple. the funding detailed in the school allocation memorandum no. 03, fy 2022 appears to come from a combination of sources including city and federal (crrsa) funds. the funding allocated for cte programs is based on"
1,Career and Technical Education Supplement,multiple,1.0,".

multiple. this funding appears to be coming from multiple sources, including the city, state, and federal government. the memorandum states that it provides funding for cte programs based on pupil cte credits from the 2020-2021 school year"
2,Career and Technical Education Supplement,multiple,1.0,".

multiple. according to the school allocation memorandum no. 03, fy 2022, funding for career and technical education (cte) programs is coming from multiple sources, including state and federal funding sources, such as the coronav"
3,Career and Technical Education Supplement,multiple,1.0,"multiple. the funding is coming from multiple sources, including the city, state, and federal government. the funding for career and technical education (cte) programs is based on pupil cte credits in the 2020-2021 school year,"
4,Career and Technical Education Supplement,multiple,1.0,".

multiple. this funding is coming from multiple sources, including the federal government through the coronavirus response and relief supplemental appropriations act (crrsa) and the new york state department of education (nysed). the new york"
0,ELA and Math Supplemental Support Services,multiple,1.0,"you have.

multiple. this funding appears to be coming from multiple sources, including the ny state education department, nyc department of education, and title iv well rounded funds. the ny state education department provides criteria for allocating the funds,"
1,ELA and Math Supplemental Support Services,multiple,1.0,"multiple. this funding appears to be coming from multiple sources, including city tax levy funds, state funds over formula funds, and federal title iv well rounded funds."
2,ELA and Math Supplemental Support Services,multiple,1.0,"you may have.

multiple. this memorandum funds additional support for students, who are performing well below proficiency in english language arts (ela) and math, to improve their literacy and mathematics skills. the funding appears to come from both state and"
3,ELA and Math Supplemental Support Services,multiple,1.0,".

multiple. the funding is coming from both the state and federal governments: the ela/math supplemental support services allocation is funded by state tax levy funds and the title iv well rounded funds are funded by federal funds."
4,ELA and Math Supplemental Support Services,multiple,1.0,"multiple. the funding appears to come from a combination of the new york city department of education (nycdoe) division of finance, new york state education department (nysed), and the title iv well rounded program, which is"
0,Contract for Excellence,state,0.8,".

state"
1,Contract for Excellence,state,0.8,state. the school allocation memorandum states that the department of education receives a portion of its overall budget in the form of foundation aid from new york state and that the c4e program has been reauthorized for the 2021-2022
2,Contract for Excellence,state,0.8,".

multiple. this sam distributes funding for the contracts for excellence (c4e) program in accordance with need weights issued by nysed, and this funding source is a portion of foundation aid from new york state. additionally, the"
3,Contract for Excellence,state,0.8,".

state"
4,Contract for Excellence,state,0.8,"you may have

state. this school allocation memorandum (sam) mentions that a portion of the budget is derived from foundation aid from the new york state, and that 75% of the city's total c4e funding go to the"
