allocation_category,allocation_category_group
Contract for Excellence FY 09,Contract for Excellence
Contract for Excellence FY 09 HS,Contract for Excellence
TL Fair Student Funding,Fair Student Funding
TL Fair Student Funding HS,Fair Student Funding
TL Funds Over Formula,Fair Student Funding
TL Funds Over Formula HS,Fair Student Funding
TL FSF Floor Raise HS,Fair Student Funding
TL FSF Floor Raise,Fair Student Funding
TL CRRSA FSF Floor Raise HS,Fair Student Funding
TL CRRSA FSF Floor Raise,Fair Student Funding
TL FSF School to School Transfers Shared,Fair Student Funding
TL FSF School to School Transfers Shared HS,Fair Student Funding
TL CRRSA FSF Deficit Relief,Fair Student Funding
TL FSF Legacy Teacher Supplement HS,Fair Student Funding
TL CRRSA FSF Deficit Relief HS,Fair Student Funding
TL FSF Post-IEP Support,Fair Student Funding
TL FSF Post-IEP Support HS,Fair Student Funding
TL FSF Legacy Teacher Supplement,Fair Student Funding
TL SE Specialized Programs ASD,TL SE Specialized Programs ASD
TL Temporary Shortfall Teachers,Other
School Support Supplement,School Support Supplement
TL SBST Shared,Other
IDEA SBST Shared,Other
4K for All,Preschool
3K for All,Preschool
CRRSA 3K for All Expansion,Preschool
Universal PreK Quality Full-Day,Preschool
Pre-K,Preschool
Pre-K SCIS Classes,Preschool
Pre-K Plus,Preschool
3K SCIS Classes,Preschool
Universal PreK Quality Full-Day Plus,Preschool
Pre-K Program Support,Preschool
TL RS IEP Para,Related Services
TL RS Mandated Speech Shared,Related Services
TL RS Mandated Counseling Shared,Related Services
IDEA RS IEP Para,Related Services
TL RS IEP Teacher,Related Services
TL RS Occupational Therapist PS Shared,Related Services
TL RS IEP Teacher HS,Related Services
TL RS Physical Therapist PS Shared,Related Services
TL RS APE Teacher Shared,Related Services
TL RS Speech Sixth Period Coverage,Related Services
ARPA Academic Recovery SE RS Related Services,Related Services
ESY Student Summer in the City Services RS,Related Services
Sequester Aid IDEA RS IEP Paras,Related Services
TL RS Student Summer In the City Services,Related Services
Title I SWP,Title I
Title I SWP Carry Over,Title I
Title I Priority/Focus SWP,Title I
Title I 1003a TSI/CSI PS,Title I
Title I SWP STH,Title I
High Need Support for Title I,Title I
Sequester/2010 Census Title I SWP,Title I
Title I 1003a Summer,Title I
Title I SWP Summer in the City,Title I
Title I Priority/Focus SWP Parent Education,Title I
Rollover Title I 1003a TSI/CSI PS,Title I
Title I 1003a TSI/CSI OTPS,Title I
Title I SIG Enhanced Grant - High School Redesign,Title I
Title I STH for Non Title I Schools,Title I
Title I STH,Title I
Title I STH Carry Over,Title I
Title I 1003 TSI/CSI Planning OTPS,Title I
Title I 1003 TSI/CSI Planning PS,Title I
Title I SWP Parent Involvement,Title I
Title I School Improvement 97 Enhanced Grant 11697,Title I
Title I SWP Teacher Leadership,Title I
Title I SWP Renewal School Teacher Leadership,Title I
Title I Enhanced - ICC,Title I
Title I Enhanced - Supporting New Principals,Title I
Title I Renewal School Teacher Leadership,Title I
Title I SWP Carry Over Parent and Family Engage,Title I
Title I SWP Parent and Family Engagement,Title I
Title I SWP Translation Services,Title I
Rollover Title I 1003a TSI/CSI OTPS,Title I
Rollover Title I Schl Imprv 97 Enhance Grant 11697,Title I
High Need Support for Title I STH,Title I
Title I Enhanced - EPL,Title I
Title I CSI Participatory Budgeting,Title I
Title I Enhanced - EDL,Title I
Title I SWP Post 630,Title I
Title I STH for Non Title I Schools Carry Over,Title I
Sequester Aid Title I STH for Non-Title I Schools,Title I
Rollover Title I CSI Participatory Budgeting,Title I
TL CB School Staff,Other
Title IIA Supplemental,Other
AIDP Attendance Shared,Other
TL Parent Coordinator,Other
ARPA Academic Recovery,Other
ARPA LA MYA Register Relief,Other
AIDP STH School and Site Based Shared,Other
TL CRRSA COVID Teacher Support,Other
TL Bridging the Gap,Other
TL Permanent Placement Incentive,Other
TL ELA/Math Student Support,Other
TL Potential Mid Year Adj to be Repaid,Other
OASAS Sub Abuse,Other
TL School Incentive 2021C1,Other
Title IV Community Coordinator,Other
TL Parent Coordinator HS,Other
ARPA Academic Recovery Social Worker,Other
TL Terminal and Paid Leaves,Other
ARPA COVID Staffing Support,Other
TL Physical Education Initiative - Cohort 2,Other
TL E&E College Access 4 All HS,Other
TL CRRSA COVID MYA Register Loss Restoration,Other
TL CTE Programs HS,Other
TL Summer in the City Shared,Other
TL Vision for School Improvement,Other
ARPA Academic Recovery SE After-School Instruction,Other
TL Instructional Leadership Framework,Other
Title IV Well Rounded,Other
TL NYSTL Textbooks HS,Other
TL Continuous Improvement HS,Other
TL SE Specialized Program Bilingual,Other
TL GE CB School Staff,Other
TL Temporary Shortfall Per Session-OTPS,Other
TL Sabbaticals,Other
TL CRRSA COVID MYA Register Loss Restoration HS,Other
ARPA Academic Recovery Arts,Other
TL 09 C4E CTT,Other
TL Renewal ELT,Other
Title III LEP,Other
AIDP,Other
TL 09 C4E CTT HS,Other
TL Permanent Placement 2022,Other
TL One-Time Allocations HS,Other
TL Blueprint Assistance HS,Other
TL Robin Hood Libraries,Other
ARPA LA Initial Register Relief,Other
Sequester/2010 Census Title IIA,Other
TL Strong Schools Strong Communities,Other
21st Century 63,Other
ARPA Academic Recovery AP Summer Rising,Other
TL Summer in the City STEM,Other
TL E&E Advanced Placement for All HS,Other
TL School to School Summer Transfers Shared,Other
TL Safe & Supportive Opportunity,Other
TL 09 C4E ICT,Other
TL Computer Maintenance,Other
TL UFT Officers-Reps and Chapt-Leaders,Other
TL Section 504,Other
TL 09 C4E ICT HS,Other
TL CRRSA COVID MYA Register Relief HS,Other
TL Summer in the City Support Shared,Other
TL NYSTL Textbooks,Other
TL Talented and Gifted,Other
TL E&E AP for All Support HS,Other
TI SIG Cohort 7 Yr 2 05M302,Other
TL SE CB School Staff,Other
TL Covid MY Register Loss Restoration,Other
TL CRRSA COVID MYA Register Relief,Other
TL MYA OTC Offset,Other
OASAS Legislative Initiative,Other
ARPA School COVID Planning Expansion,Other
TL Temporary Shortfall Per Diem,Other
TL Summer Rising Shared,Other
Rollover Smart Schools Bond Act,Other
ARPA Academic Recovery CBO Support Summer Rising,Other
TL CFES SBST Clustering,Other
Title IV Well Rounded ELA Math Support,Other
TL E&E Algebra for All,Other
ARPA Academic Recovery SE Support Summer Rising,Other
TL Strong Schools Strong Communities HS,Other
ARPA Academic Recovery Summer Rising,Other
TL Deferred Program Planning Initiative,Other
TL Computer Maintenance HS,Other
TL Continuous Improvement,Other
TL Covid MY Register Loss Restoration HS,Other
TL 12-Month AP HS,Other
TL Summer in the City Community Schools,Other
TL School Incentive 2019,Other
Rollover Title IV Community Coordinator,Other
TL E&E MS College Access OTPS,Other
ROLLOVER MBK Exmplry Model D5 M670,Other
Rollover MBK Exemplary Schl Model Grant,Other
Rollover MBK Exemplry Model D5M670 (08656),Other
TL E&E Universal Literacy,Other
TL SE Transitional Funding,Other
TL Deferred Program Planning Initiative HS,Other
TI SIG Cohort 4 Yr 5 Transformation (05M123),Other
ARPA Academic Recovery Arts Summer Rising,Other
Funds Pub Schl 72,Other
TL CFES Open Schools Support Staff,Other
TL CC Target Class Size Reduction Pilot,Other
State Misc. 16 EDSVP,Other
TL NYSTL Hardware HS,Other
ARPA Vaccine Policy Coverage,Other
State Misc. 16 - EDSVP,Other
TL E&E AP for All PSPD HS,Other
TL NYSTL Software HS,Other
Funds Pub Schl 28 - Teachers College Comm Schl,Other
TL Summer Rising Support Shared,Other
TL E&E MS College Access,Other
TL NYSTL Library Books,Other
TL MOSL,Other
TL Translation Services,Other
Title III LEP Summer in the City,Other
TL School Incentive 2019B,Other
TL CTE WBL HS,Other
Title IV Fall Reopening Planning Grant,Other
Funds Pub Schl 302 - PS 517M - OTPS,Other
TL Summer in the City ASD,Other
ARPA Academic Recovery SBST School Psychologist,Other
21st Century 62,Other
Funds Pub Schl 04 - PSM517 - Supplies,Other
ARPA Academic Recovery Community Schools Expansion,Other
TL Teacher Career Pathway - Subsidy Allocation,Other
