,allocation_category,amount,location_code,fiscal_year
0,AIDP Attendance Shared,"$ 150,490",M692,2022
1,ARPA Academic Recovery,"$ 112,682",M692,2022
2,ARPA Academic Recovery Arts,"$ 28,171",M692,2022
3,ARPA Academic Recovery SE After-School Instruction,"$ 16,242",M692,2022
4,ARPA Academic Recovery SE Counseling,"$ 2,223",M692,2022
5,ARPA Academic Recovery SE Intervention Training,"$ 2,363",M692,2022
6,ARPA Academic Recovery SE Planning Prep,"$ 1,681",M692,2022
7,ARPA Academic Recovery SE RS Related Services,"$ 4,350",M692,2022
8,ARPA Election Day Remote Planning,"$ 4,258",M692,2022
9,ARPA School COVID Planning Expansion,"$ 16,664",M692,2022
10,ARPA Vaccine Policy Coverage,"$ 4,823",M692,2022
11,Contract for Excellence FY 09 HS,"$ 45,445",M692,2022
12,CRRSA Computer Maintenance,"$ 1,190",M692,2022
13,CRRSA CRSE Arts Studio,$ 321,M692,2022
14,CRRSA OTPS for PSAL,"$ 1,156",M692,2022
15,CRRSA Restoration Arts Studio,$ 814,M692,2022
16,CRRSA Situation Room,"$ 3,075",M692,2022
17,High Need Support for Title I STH,$ 229,M692,2022
18,IDEA RS IEP Para,"$ 12,205",M692,2022
19,Rollover Smart Schools Bond Act,"$ 13,382",M692,2022
20,Title I STH for Non Title I Schools,"$ 5,537",M692,2022
21,Title III Translation Services,"$ 3,449",M692,2022
22,Title IV Fall Reopening Planning Grant,"$ 7,318",M692,2022
23,Title IV Well Rounded ELA Math Support,"$ 2,082",M692,2022
24,TL 12-Month AP HS,"$ 14,868",M692,2022
25,TL CB School Staff,"$ 11,204",M692,2022
26,TL Computer Maintenance HS,"$ 5,785",M692,2022
27,TL CRRSA Surplus Rollover HS,"$ 35,003",M692,2022
28,TL CTE Programs HS,"$ 63,461",M692,2022
29,TL CTE WBL HS,"$ 16,122",M692,2022
30,TL E&E College Access 4 All HS,"$ 25,000",M692,2022
31,TL ELA/Math Student Support,"$ 6,028",M692,2022
32,TL Fair Student Funding HS,"$ 4,036,919",M692,2022
33,TL FSF Post-IEP Support HS,"$ 2,027",M692,2022
34,TL Funds Over Formula HS,"$ 309,171",M692,2022
35,TL MOSL,"$ 1,700",M692,2022
36,TL NYSTL Hardware HS,"$ 5,286",M692,2022
37,TL NYSTL Library Books HS,"$ 3,092",M692,2022
