,location_code,fiscal_year,budget_category,amountNum
0,K001,2018,Leadership,514450
1,K001,2018,Paraprofessionals,1210907
2,K001,2018,Teacher,7268609
3,K001,2019,Leadership,537086
4,K001,2019,Paraprofessionals,928920
5,K001,2019,Teacher,7293012
6,K001,2020,Leadership,265565
7,K001,2020,Paraprofessionals,742586
8,K001,2020,Teacher,6999461
9,K001,2021,Leadership,474821
10,K001,2021,Paraprofessionals,781918
11,K001,2021,Teacher,6939092
12,K001,2022,Leadership,603197
13,K001,2022,Paraprofessionals,558127
14,K001,2022,Teacher,6979075
15,K001,2023,Leadership,532712
16,K001,2023,Paraprofessionals,606020
17,K001,2023,Teacher,6233045
18,K002,2018,Leadership,463485
19,K002,2018,Paraprofessionals,241052
20,K002,2018,Teacher,2811857
21,K002,2019,Leadership,514340
22,K002,2019,Paraprofessionals,242820
23,K002,2019,Teacher,2940923
24,K002,2020,Leadership,488400
25,K002,2020,Paraprofessionals,247773
26,K002,2020,Teacher,2925678
27,K002,2021,Leadership,421951
28,K002,2021,Paraprofessionals,257703
29,K002,2021,Teacher,2590189
30,K002,2022,Leadership,481501
31,K002,2022,Paraprofessionals,224033
32,K002,2022,Teacher,2780018
33,K002,2023,Leadership,475649
34,K002,2023,Paraprofessionals,163691
35,K002,2023,Teacher,2664898
36,K003,2018,Leadership,295851
37,K003,2018,Paraprofessionals,328886
38,K003,2018,Teacher,2738576
39,K003,2019,Leadership,320722
40,K003,2019,Paraprofessionals,306588
41,K003,2019,Teacher,2757656
42,K003,2020,Leadership,169839
43,K003,2020,Paraprofessionals,279063
44,K003,2020,Teacher,2780924
45,K003,2021,Leadership,177307
46,K003,2021,Paraprofessionals,269587
47,K003,2021,Teacher,2624448
48,K003,2022,Leadership,186273
49,K003,2022,Paraprofessionals,281785
50,K003,2022,Teacher,2720649
51,K003,2023,Leadership,187530
52,K003,2023,Paraprofessionals,242788
53,K003,2023,Teacher,2550548
54,K004,2018,Leadership,588474
55,K004,2018,Paraprofessionals,3472089
56,K004,2018,Teacher,2427275
57,K004,2019,Leadership,621756
58,K004,2019,Paraprofessionals,3384395
59,K004,2019,Teacher,2259629
60,K004,2020,Leadership,738895
61,K004,2020,Paraprofessionals,3619116
62,K004,2020,Teacher,1922934
63,K004,2021,Leadership,871925
64,K004,2021,Paraprofessionals,4134007
65,K004,2021,Teacher,1872136
66,K004,2022,Leadership,883968
67,K004,2022,Paraprofessionals,3509644
68,K004,2022,Teacher,1655118
69,K004,2023,Leadership,795663
70,K004,2023,Paraprofessionals,3264066
71,K004,2023,Teacher,1476570
72,K005,2018,Leadership,299256
73,K005,2018,Paraprofessionals,396175
74,K005,2018,Teacher,1801892
75,K005,2019,Leadership,317209
76,K005,2019,Paraprofessionals,435756
77,K005,2019,Teacher,1830975
78,K005,2020,Leadership,319864
79,K005,2020,Paraprofessionals,423070
80,K005,2020,Teacher,1709444
81,K005,2021,Leadership,334250
82,K005,2021,Paraprofessionals,394089
83,K005,2021,Teacher,1981094
84,K005,2022,Leadership,370339
85,K005,2022,Paraprofessionals,417522
86,K005,2022,Teacher,2086419
87,K005,2023,Leadership,353323
88,K005,2023,Paraprofessionals,422893
89,K005,2023,Teacher,2283543
90,K006,2018,Leadership,373013
91,K006,2018,Paraprofessionals,790354
92,K006,2018,Teacher,4559546
93,K006,2019,Leadership,398927
94,K006,2019,Paraprofessionals,707537
95,K006,2019,Teacher,4325803
96,K006,2020,Leadership,416248
97,K006,2020,Paraprofessionals,792808
98,K006,2020,Teacher,4754307
99,K006,2021,Leadership,431234
100,K006,2021,Paraprofessionals,659205
101,K006,2021,Teacher,5095378
102,K006,2022,Leadership,502411
103,K006,2022,Paraprofessionals,795632
104,K006,2022,Teacher,5181909
105,K006,2023,Leadership,530075
106,K006,2023,Paraprofessionals,598771
107,K006,2023,Teacher,5014554
108,K007,2018,Leadership,383222
109,K007,2018,Paraprofessionals,476262
110,K007,2018,Teacher,5482661
111,K007,2019,Leadership,410221
112,K007,2019,Paraprofessionals,560254
113,K007,2019,Teacher,5348744
114,K007,2020,Leadership,349829
115,K007,2020,Paraprofessionals,621921
116,K007,2020,Teacher,5546778
117,K007,2021,Leadership,437399
118,K007,2021,Paraprofessionals,623226
119,K007,2021,Teacher,5414068
120,K007,2022,Leadership,320240
121,K007,2022,Paraprofessionals,572523
122,K007,2022,Teacher,5026803
123,K007,2023,Leadership,465594
124,K007,2023,Paraprofessionals,486404
125,K007,2023,Teacher,5270158
126,K008,2018,Leadership,365453
127,K008,2018,Paraprofessionals,266590
128,K008,2018,Teacher,4817712
129,K008,2019,Leadership,406834
130,K008,2019,Paraprofessionals,208658
131,K008,2019,Teacher,4822552
132,K008,2020,Leadership,254737
133,K008,2020,Paraprofessionals,84587
134,K008,2020,Teacher,3551757
135,K008,2021,Leadership,305688
136,K008,2021,Paraprofessionals,103372
137,K008,2021,Teacher,3611445
138,K008,2022,Leadership,316058
139,K008,2022,Paraprofessionals,55072
140,K008,2022,Teacher,3199662
141,K008,2023,Leadership,323709
142,K008,2023,Paraprofessionals,46443
143,K008,2023,Teacher,3755539
144,K009,2018,Leadership,277463
145,K009,2018,Paraprofessionals,997699
146,K009,2018,Teacher,4690237
147,K009,2019,Leadership,293393
148,K009,2019,Paraprofessionals,1072486
149,K009,2019,Teacher,4814737
150,K009,2020,Leadership,130220
151,K009,2020,Paraprofessionals,997193
152,K009,2020,Teacher,5109233
153,K009,2021,Leadership,286357
154,K009,2021,Paraprofessionals,1060930
155,K009,2021,Teacher,5323424
156,K009,2022,Leadership,414409
157,K009,2022,Paraprofessionals,1203826
158,K009,2022,Teacher,5599382
159,K009,2023,Leadership,308801
160,K009,2023,Paraprofessionals,1136144
161,K009,2023,Teacher,4722653
162,K010,2018,Leadership,464628
163,K010,2018,Paraprofessionals,2750378
164,K010,2018,Teacher,8972973
165,K010,2019,Leadership,677429
166,K010,2019,Paraprofessionals,2660892
167,K010,2019,Teacher,9747878
168,K010,2020,Leadership,763714
169,K010,2020,Paraprofessionals,3169720
170,K010,2020,Teacher,9882083
171,K010,2021,Leadership,799472
172,K010,2021,Paraprofessionals,3133144
173,K010,2021,Teacher,9858629
174,K010,2022,Leadership,827070
175,K010,2022,Paraprofessionals,2787446
176,K010,2022,Teacher,9785423
177,K010,2023,Leadership,877540
178,K010,2023,Paraprofessionals,2911933
179,K010,2023,Teacher,10425336
180,K011,2018,Leadership,369309
181,K011,2018,Paraprofessionals,549670
182,K011,2018,Teacher,3809147
183,K011,2019,Leadership,271042
184,K011,2019,Paraprofessionals,474315
185,K011,2019,Teacher,4065867
186,K011,2020,Leadership,273696
187,K011,2020,Paraprofessionals,582001
188,K011,2020,Teacher,3955113
189,K011,2021,Leadership,300891
190,K011,2021,Paraprofessionals,651401
191,K011,2021,Teacher,4327216
192,K011,2022,Leadership,344099
193,K011,2022,Paraprofessionals,606509
194,K011,2022,Teacher,4313982
195,K011,2023,Leadership,323502
196,K011,2023,Paraprofessionals,486327
197,K011,2023,Teacher,4688043
198,K012,2018,Leadership,273282
199,K012,2018,Paraprofessionals,443910
200,K012,2018,Teacher,1587451
201,K012,2019,Leadership,198847
202,K012,2019,Paraprofessionals,439537
203,K012,2019,Teacher,1855902
204,K012,2020,Leadership,288140
205,K012,2020,Paraprofessionals,350538
206,K012,2020,Teacher,1962205
207,K012,2021,Leadership,301450
208,K012,2021,Paraprofessionals,263656
209,K012,2021,Teacher,1830840
210,K012,2022,Leadership,247547
211,K012,2022,Paraprofessionals,367595
212,K012,2022,Teacher,2094363
213,K012,2023,Leadership,192264
214,K012,2023,Paraprofessionals,230449
215,K012,2023,Teacher,1644449
216,K013,2018,Leadership,287957
217,K013,2018,Paraprofessionals,723872
218,K013,2018,Teacher,3615099
219,K013,2019,Leadership,371192
220,K013,2019,Paraprofessionals,702713
221,K013,2019,Teacher,3641705
222,K013,2020,Leadership,412428
223,K013,2020,Paraprofessionals,650983
224,K013,2020,Teacher,3925009
225,K013,2021,Leadership,353981
226,K013,2021,Paraprofessionals,614292
227,K013,2021,Teacher,3667518
228,K013,2022,Leadership,473353
229,K013,2022,Paraprofessionals,480211
230,K013,2022,Teacher,3649098
231,K013,2023,Leadership,470955
232,K013,2023,Paraprofessionals,521528
233,K013,2023,Teacher,3370691
234,K014,2018,Leadership,385617
235,K014,2018,Paraprofessionals,1156368
236,K014,2018,Teacher,3838427
237,K014,2019,Leadership,409919
238,K014,2019,Paraprofessionals,1139467
239,K014,2019,Teacher,3797216
240,K014,2020,Leadership,417401
