,allocation_category,amount,location_code,fiscal_year
0,ARPA Academic Recovery,"$ 186,339",Q566,2022
1,ARPA Academic Recovery Arts,"$ 46,585",Q566,2022
2,ARPA Academic Recovery Para Summer Rising,"$ 4,304",Q566,2022
3,ARPA Academic Recovery SE After-School Instruction,"$ 82,193",Q566,2022
4,ARPA Academic Recovery SE Counseling,"$ 4,043",Q566,2022
5,ARPA Academic Recovery SE Intervention Training,"$ 2,363",Q566,2022
6,ARPA Academic Recovery SE Planning Prep,"$ 8,508",Q566,2022
7,ARPA Academic Recovery SE RS Related Services,"$ 19,140",Q566,2022
8,ARPA Academic Recovery SE Support Summer Rising,"$ 14,109",Q566,2022
9,ARPA Academic Recovery Social Worker,"$ 154,225",Q566,2022
10,ARPA Election Day Remote Planning,"$ 4,258",Q566,2022
11,ARPA LA Initial Register Relief,"$ 138,297",Q566,2022
12,ARPA LA MYA Register Relief,"$ 768,458",Q566,2022
13,ARPA School COVID Planning Expansion,"$ 24,065",Q566,2022
14,ARPA Vaccine Policy Coverage,"$ 33,798",Q566,2022
15,Contract for Excellence FY 09 HS,"$ 93,807",Q566,2022
16,CRRSA Computer Maintenance,"$ 2,727",Q566,2022
17,CRRSA CRSE Arts Studio,$ 321,Q566,2022
18,CRRSA OTPS for PSAL,"$ 2,462",Q566,2022
19,CRRSA Restoration Arts Studio,$ 814,Q566,2022
20,CRRSA Situation Room,"$ 8,200",Q566,2022
21,High Need Support for Title I STH,"$ 1,762",Q566,2022
22,Title I STH for Non Title I Schools,"$ 16,420",Q566,2022
23,Title III LEP,"$ 12,000",Q566,2022
24,Title III Translation Services,"$ 4,645",Q566,2022
25,Title IV Fall Reopening Planning Grant,"$ 10,374",Q566,2022
26,Title IV Safe Healthy Counseling Summer Rising,"$ 6,179",Q566,2022
27,Title IV Well Rounded ELA Math Support,"$ 17,820",Q566,2022
28,TL 09 C4E ICT HS,"$ 106,622",Q566,2022
29,TL 12-Month AP HS,"$ 14,868",Q566,2022
30,TL CB School Staff,"$ 177,842",Q566,2022
31,TL Civics for All,"$ 2,750",Q566,2022
32,TL Computer Maintenance HS,"$ 13,254",Q566,2022
33,TL CRRSA COVID MYA Register Relief HS,"$ 216,745",Q566,2022
34,TL CRRSA FSF Floor Raise HS,"$ 278,457",Q566,2022
35,TL CRRSA Surplus Rollover HS,"$ 69,000",Q566,2022
36,TL E&E Advanced Placement for All HS,"$ 32,518",Q566,2022
37,TL E&E AP for All PSPD HS,"$ 5,564",Q566,2022
38,TL E&E AP for All Support HS,"$ 2,500",Q566,2022
39,TL E&E College Access 4 All HS,"$ 22,000",Q566,2022
40,TL ELA/Math Student Support,"$ 51,591",Q566,2022
41,TL Fair Student Funding HS,"$ 5,947,551",Q566,2022
42,TL FSF Floor Raise HS,"$ 471,741",Q566,2022
43,TL FSF Post-IEP Support HS,$ 507,Q566,2022
44,TL Implicit Bias Awareness,"$ 13,480",Q566,2022
45,TL MOSL,"$ 1,700",Q566,2022
46,TL NYSTL Hardware HS,"$ 10,251",Q566,2022
47,TL NYSTL Library Books HS,"$ 5,997",Q566,2022
48,TL NYSTL Software HS,"$ 9,427",Q566,2022
49,TL NYSTL Textbooks HS,"$ 52,300",Q566,2022
50,TL Parent Coordinator HS,"$ 43,968",Q566,2022
51,TL Parent Coordinator OTPS HS,$ 500,Q566,2022
52,TL Permanent Placement 2022,"$ 100,089",Q566,2022
53,TL RS IEP Para,"$ 25,000",Q566,2022
54,TL RS IEP Teacher HS,"$ 100,089",Q566,2022
55,TL RS Mandated Counseling Shared,"$ 58,731",Q566,2022
56,TL RS Mandated Speech Shared,"$ 103,083",Q566,2022
57,TL SBST Shared,"$ 144,180",Q566,2022
58,TL School to School Summer Rising ASD Shared,"$ 7,829",Q566,2022
59,TL SE Specialized Programs ASD,"$ 1,948,913",Q566,2022
60,TL Situation Room,"$ 1,129",Q566,2022
61,TL Summer Rising Shared,"$ 47,043",Q566,2022
62,TL Summer Rising Support Shared,"$ 4,989",Q566,2022
63,TL Translation Services,"$ 1,757",Q566,2022
64,Contract for Excellence FY 09 HS,"$ 93,807",Q566,2021
65,High Need Support for Title I STH,"$ 1,879",Q566,2021
66,Title I STH for Non Title I Schools,"$ 17,934",Q566,2021
67,Title I STH for Non Title I Schools Carry Over,"$ 2,264",Q566,2021
68,Title III Translation Services,"$ 4,565",Q566,2021
69,Title IV Summer Rising Reopening Planning,"$ 4,414",Q566,2021
70,Title IV Well Rounded ELA Math Support,"$ 16,677",Q566,2021
71,TL 09 C4E ICT HS,"$ 106,622",Q566,2021
72,TL 12-Month AP HS,"$ 15,395",Q566,2021
73,TL Arts Studio HS,$ 560,Q566,2021
74,TL CB School Staff,"$ 17,485",Q566,2021
75,TL Computer Maintenance HS,"$ 24,242",Q566,2021
76,TL Covid MY Register Loss Restoration HS,"$ 138,296",Q566,2021
77,TL CRRSA COVID MYA Register Loss Restoration HS,"$ 414,888",Q566,2021
78,TL CRRSA COVID Teacher Support,"$ 111,054",Q566,2021
79,TL E&E Advanced Placement for All HS,"$ 31,657",Q566,2021
80,TL E&E AP for All PSPD HS,"$ 6,269",Q566,2021
81,TL E&E AP for All Support HS,"$ 26,951",Q566,2021
82,TL E&E College Access 4 All HS,"$ 45,000",Q566,2021
83,TL ELA/Math Student Support,"$ 46,689",Q566,2021
84,TL Fair Student Funding HS,"$ 6,233,088",Q566,2021
85,TL FSF Post-IEP Support HS,$ 497,Q566,2021
86,TL HEW School Wellness Council,"$ 2,500",Q566,2021
87,TL Implicit Bias Awareness,"$ 3,395",Q566,2021
88,TL Instructional Leadership Framework,"$ 24,568",Q566,2021
89,TL NYSTL Hardware HS,"$ 10,994",Q566,2021
90,TL NYSTL Library Books HS,"$ 6,322",Q566,2021
91,TL NYSTL Software HS,"$ 10,139",Q566,2021
92,TL NYSTL Textbooks HS,"$ 53,531",Q566,2021
93,TL Parent Coordinator HS,"$ 42,649",Q566,2021
94,TL Parent Coordinator OTPS HS,$ 500,Q566,2021
95,TL Periodic Assessment,"$ 1,700",Q566,2021
96,TL RS IEP Teacher HS,"$ 95,787",Q566,2021
97,TL RS Mandated Counseling Shared,"$ 51,126",Q566,2021
98,TL RS Mandated Speech Shared,"$ 99,109",Q566,2021
99,TL RS Occupational Therapist PS Shared,"$ 78,516",Q566,2021
100,TL SBST Shared,"$ 144,120",Q566,2021
101,TL School COVID Planning Supplement,"$ 8,846",Q566,2021
102,TL SE Specialized Programs ASD,"$ 1,365,906",Q566,2021
103,TL Summer in the City ASD,"$ 4,573",Q566,2021
104,TL Summer in the City Shared,"$ 9,491",Q566,2021
105,TL Translation Services,"$ 1,728",Q566,2021
106,Contract for Excellence FY 09 HS,"$ 93,807",Q566,2020
107,High Need Support for Title I STH,"$ 1,639",Q566,2020
108,IDEA RS IEP Para,"$ 9,328",Q566,2020
109,Title I STH for Non Title I Schools,"$ 16,803",Q566,2020
110,Title III Translation Services,"$ 4,651",Q566,2020
111,TL 09 C4E CTT HS,"$ 106,622",Q566,2020
112,TL Arts Studio HS,$ 865,Q566,2020
113,TL CB School Staff,"$ 16,650",Q566,2020
114,TL Civics for All,"$ 2,000",Q566,2020
115,TL Computer Maintenance HS,"$ 24,242",Q566,2020
116,TL Continuous Improvement HS,"$ 16,000",Q566,2020
117,TL E&E Advanced Placement for All HS,"$ 30,911",Q566,2020
118,TL E&E AP for All PSPD HS,"$ 22,700",Q566,2020
119,TL E&E AP for All Support HS,"$ 21,000",Q566,2020
120,TL E&E College Access 4 All HS,"$ 50,000",Q566,2020
121,TL ELA/Math Student Support,"$ 46,556",Q566,2020
122,TL ELL Initiative College Ready,"$ 5,006",Q566,2020
123,TL Fair Student Funding HS,"$ 6,480,350",Q566,2020
124,TL Implicit Bias Awareness,$ 257,Q566,2020
125,TL Instructional Leadership Framework,"$ 24,888",Q566,2020
126,TL LEAP HS,"$ 2,274",Q566,2020
127,TL MOSL,"$ 1,700",Q566,2020
128,TL NYSTL Hardware HS,"$ 12,185",Q566,2020
