,location_code,fiscal_year,allocation_category,amount
0,M692,2022,AIDP Attendance Shared,"$ 150,490"
1,M692,2022,ARPA Academic Recovery,"$ 112,682"
2,M692,2022,ARPA Academic Recovery Arts,"$ 28,171"
3,M692,2022,ARPA Academic Recovery SE After-School Instruction,"$ 16,242"
4,M692,2022,ARPA Academic Recovery SE Counseling,"$ 2,223"
5,M692,2022,ARPA Academic Recovery SE Intervention Training,"$ 2,363"
6,M692,2022,ARPA Academic Recovery SE Planning Prep,"$ 1,681"
7,M692,2022,ARPA Academic Recovery SE RS Related Services,"$ 4,350"
8,M692,2022,ARPA Election Day Remote Planning,"$ 4,258"
9,M692,2022,ARPA School COVID Planning Expansion,"$ 16,664"
10,M692,2022,ARPA Vaccine Policy Coverage,"$ 4,823"
11,M692,2022,Contract for Excellence FY 09 HS,"$ 45,445"
12,M692,2022,CRRSA Computer Maintenance,"$ 1,190"
13,M692,2022,CRRSA CRSE Arts Studio,$ 321
14,M692,2022,CRRSA OTPS for PSAL,"$ 1,156"
15,M692,2022,CRRSA Restoration Arts Studio,$ 814
16,M692,2022,CRRSA Situation Room,"$ 3,075"
17,M692,2022,High Need Support for Title I STH,$ 229
18,M692,2022,IDEA RS IEP Para,"$ 12,205"
19,M692,2022,Rollover Smart Schools Bond Act,"$ 13,382"
20,M692,2022,Title I STH for Non Title I Schools,"$ 5,537"
0,M692,2022,Title III Translation Services,"$ 3,449"
1,M692,2022,Title IV Fall Reopening Planning Grant,"$ 7,318"
2,M692,2022,Title IV Well Rounded ELA Math Support,"$ 2,082"
3,M692,2022,TL 12-Month AP HS,"$ 14,868"
4,M692,2022,TL CB School Staff,"$ 11,204"
5,M692,2022,TL Computer Maintenance HS,"$ 5,785"
6,M692,2022,TL CRRSA Surplus Rollover HS,"$ 35,003"
7,M692,2022,TL CTE Programs HS,"$ 63,461"
8,M692,2022,TL CTE WBL HS,"$ 16,122"
9,M692,2022,TL E&E College Access 4 All HS,"$ 25,000"
10,M692,2022,TL ELA/Math Student Support,"$ 6,028"
11,M692,2022,TL Fair Student Funding HS,"$ 4,036,919"
12,M692,2022,TL FSF Post-IEP Support HS,"$ 2,027"
13,M692,2022,TL Funds Over Formula HS,"$ 309,171"
14,M692,2022,TL MOSL,"$ 1,700"
15,M692,2022,TL NYSTL Hardware HS,"$ 5,286"
16,M692,2022,TL NYSTL Library Books HS,"$ 3,092"
17,M692,2022,TL NYSTL Software HS,"$ 4,861"
18,M692,2022,TL NYSTL Textbooks HS,"$ 28,677"
19,M692,2022,TL Parent Coordinator HS,"$ 43,968"
20,M692,2022,TL Parent Coordinator OTPS HS,$ 500
21,M692,2022,TL Permanent Placement 2022,"$ 106,797"
22,M692,2022,TL Permanent Placement Incentive,"$ 106,797"
23,M692,2022,TL RS IEP Para,"$ 33,488"
24,M692,2022,TL RS Mandated Counseling Shared,"$ 34,245"
25,M692,2022,TL Sabbaticals,"$ 82,615"
26,M692,2022,TL Situation Room,"$ 1,129"
27,M692,2022,TL Summer Rising Discovery,"$ 23,159"
0,M692,2022,TL Summer Rising Shared,"$ 18,623"
1,M692,2022,TL Translation Services,"$ 1,305"
0,M692,2021,AIDP Attendance Shared,"$ 147,079"
1,M692,2021,Contract for Excellence FY 09 HS,"$ 45,445"
2,M692,2021,High Need Support for Title I STH,$ 182
3,M692,2021,Private PTA Grant 02,"$ 29,000"
4,M692,2021,Rollover Private PTA Grant 04,"$ 1,257"
5,M692,2021,Title I STH for Non Title I Schools,"$ 4,762"
6,M692,2021,Title I STH for Non Title I Schools Carry Over,$ 622
7,M692,2021,Title III Translation Services,"$ 3,315"
8,M692,2021,Title IV Summer Rising Reopening Planning,"$ 3,079"
9,M692,2021,Title IV Well Rounded ELA Math Support,"$ 1,808"
10,M692,2021,TL 12-Month AP HS,"$ 15,395"
11,M692,2021,TL CB School Staff,"$ 9,522"
12,M692,2021,TL Computer Maintenance HS,"$ 8,211"
13,M692,2021,TL CTE Programs HS,"$ 55,128"
14,M692,2021,TL CTE WBL HS,"$ 11,627"
15,M692,2021,TL E&E AP for All Support HS,"$ 4,935"
16,M692,2021,TL E&E College Access 4 All HS,"$ 28,000"
17,M692,2021,TL ELA/Math Student Support,"$ 5,061"
18,M692,2021,TL Fair Student Funding HS,"$ 3,673,895"
19,M692,2021,TL Funds Over Formula HS,"$ 378,660"
20,M692,2021,TL Implicit Bias Awareness,"$ 1,251"
0,M692,2021,TL Implicit Bias CCER,$ 523
1,M692,2021,TL Instructional Leadership Framework,"$ 18,938"
2,M692,2021,TL NYSTL Hardware HS,"$ 5,238"
3,M692,2021,TL NYSTL Library Books HS,"$ 3,012"
4,M692,2021,TL NYSTL Software HS,"$ 4,831"
5,M692,2021,TL NYSTL Textbooks HS,"$ 27,980"
6,M692,2021,TL Parent Coordinator HS,"$ 43,968"
7,M692,2021,TL Parent Coordinator OTPS HS,$ 500
8,M692,2021,TL Periodic Assessment,"$ 1,700"
9,M692,2021,TL Permanent Placement Incentive,"$ 102,687"
10,M692,2021,TL RS IEP Para,"$ 39,295"
11,M692,2021,TL RS Mandated Counseling Shared,"$ 28,841"
12,M692,2021,TL School COVID Planning Supplement,"$ 5,956"
13,M692,2021,TL Summer in the City Discovery Program,"$ 22,571"
14,M692,2021,TL Summer in the City Shared,"$ 12,866"
15,M692,2021,TL Translation Services,"$ 1,254"
0,M692,2020,AIDP Attendance Shared,"$ 142,660"
1,M692,2020,Contract for Excellence FY 09 HS,"$ 45,445"
2,M692,2020,High Need Support for Title I STH,$ 246
3,M692,2020,IDEA RS IEP Para,"$ 4,584"
4,M692,2020,Private PTA Grant 04,"$ 35,935"
5,M692,2020,Title I STH for Non Title I Schools,"$ 6,052"
6,M692,2020,Title III Translation Services,"$ 3,386"
7,M692,2020,TL 12-Month AP HS,"$ 15,359"
8,M692,2020,TL Arts Studio HS,$ 865
9,M692,2020,TL CB School Staff,"$ 11,305"
10,M692,2020,TL Computer Maintenance HS,"$ 8,211"
11,M692,2020,TL Continuous Improvement HS,"$ 16,000"
12,M692,2020,TL CTE Programs HS,"$ 61,163"
13,M692,2020,TL Deferred Program Planning Initiative HS,"$ 24,000"
14,M692,2020,TL E&E College Access 4 All HS,"$ 37,428"
15,M692,2020,TL Fair Student Funding HS,"$ 3,503,015"
16,M692,2020,TL Funds Over Formula HS,"$ 463,804"
17,M692,2020,TL Instructional Leadership Framework,"$ 19,097"
18,M692,2020,TL MOSL,"$ 1,500"
19,M692,2020,TL NYSTL Hardware HS,"$ 4,905"
20,M692,2020,TL NYSTL Library Books HS,"$ 3,007"
0,M692,2020,TL NYSTL Software HS,"$ 4,851"
1,M692,2020,TL NYSTL Textbooks HS,"$ 28,069"
2,M692,2020,TL OTPS for PSAL HS,"$ 1,156"
3,M692,2020,TL Parent Coordinator HS,"$ 42,469"
4,M692,2020,TL Parent Coordinator OTPS HS,$ 500
5,M692,2020,TL Permanent Placement Incentive,"$ 91,489"
6,M692,2020,TL Prior Year Encumbrance,$ 383
7,M692,2020,TL RS IEP Para,"$ 13,090"
8,M692,2020,TL RS Mandated Counseling Shared,"$ 22,075"
9,M692,2020,TL SBST Shared,"$ 103,102"
10,M692,2020,TL Summer in the City Discovery Program,"$ 13,998"
11,M692,2020,TL Summer in the City Shared,"$ 7,754"
12,M692,2020,TL Translation Services,$ 999
0,M692,2019,AIDP Attendance Shared,"$ 138,934"
1,M692,2019,Contract for Excellence FY 09 HS,"$ 48,695"
2,M692,2019,IDEA RS IEP Para,"$ 11,149"
3,M692,2019,Sequester Aid IDEA RS IEP Paras,"$ 1,191"
4,M692,2019,Sequester Aid Title I STH for Non-Title I Schools,$ 340
5,M692,2019,Title I STH for Non Title I Schools,"$ 7,998"
6,M692,2019,Title III Translation Services,"$ 3,314"
7,M692,2019,TL 12-Month AP HS,"$ 14,199"
8,M692,2019,TL Arts Studio HS,$ 850
9,M692,2019,TL CB Per Session Per Diem Prep,$ 626
10,M692,2019,TL CB School Staff,"$ 9,743"
11,M692,2019,TL CB School Staff Related Services,"$ 1,086"
12,M692,2019,TL Computer Maintenance HS,"$ 9,533"
13,M692,2019,TL CTE Programs HS,"$ 100,000"
14,M692,2019,TL Deferred Program Planning Initiative HS,"$ 39,024"
15,M692,2019,TL E&E College Access 4 All HS,"$ 35,000"
16,M692,2019,TL Fair Student Funding HS,"$ 3,310,517"
17,M692,2019,TL FSF Post-IEP Support HS,$ 490
18,M692,2019,TL FSF School to School Transfers Shared HS,"$ 35,379"
19,M692,2019,TL Funds Over Formula HS,"$ 535,375"
20,M692,2019,TL GE CB School Staff,"$ 44,079"
0,M692,2019,TL MOSL,"$ 1,500"
1,M692,2019,TL NYSTL Hardware HS,"$ 5,294"
