,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
0,M692,2022,Leadership,HEAD OF SCHOOL,1.0,,"$ 197,026"
1,M692,2022,Leadership,AP - ORGANIZATION,1.0,,"$ 148,166"
0,M692,2022,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 43,968"
0,M692,2022,Secretary,School Secretary,2.0,,"$ 149,545"
0,M692,2022,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 106,797"
1,M692,2022,High School Departments,ENGLISH LANGUAGE ARTS,3.0,WHOLE CLASS,"$ 320,789"
3,M692,2022,High School Departments,FL - GERMAN,1.0,WHOLE CLASS,"$ 106,797"
4,M692,2022,High School Departments,FL - SPANISH,1.0,WHOLE CLASS,"$ 106,797"
5,M692,2022,High School Departments,MATH,7.0,WHOLE CLASS,"$ 747,579"
6,M692,2022,High School Departments,MUSIC,1.0,WHOLE CLASS,"$ 106,797"
7,M692,2022,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 213,594"
8,M692,2022,High School Departments,SCIENCE - BIOLOGY,2.0,WHOLE CLASS,"$ 213,594"
9,M692,2022,High School Departments,SCIENCE - CHEMISTRY,2.0,WHOLE CLASS,"$ 213,594"
10,M692,2022,High School Departments,SCIENCE - EARTH SCIENCE,1.0,WHOLE CLASS,"$ 106,797"
11,M692,2022,High School Departments,SCIENCE - PHYSICS,2.0,WHOLE CLASS,"$ 213,594"
12,M692,2022,High School Departments,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 427,188"
13,M692,2022,High School Departments,SPECIAL EDUCATION,1.0,SUBJECT SPECIFIC,"$ 106,797"
14,M692,2022,High School Departments,TECHNOLOGY,2.0,WHOLE CLASS,"$ 213,594"
0,M692,2022,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 150,490"
0,M692,2022,Guidance/Social Workers,Guidance Counselor,2.0,,"$ 213,464"
0,M692,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),1.0,,"$ 45,691"
0,M692,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,4.0,,"$ 212,808"
0,M692,2022,Per Diem,ABSENCE COVERAGE,,,"$ 92,218"
0,M692,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 196,566"
1,M692,2022,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 5,456"
2,M692,2022,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 5,000"
3,M692,2022,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 16,073"
0,M692,2022,OTPS,Data Processing Repair - Contractual,,,"$ 7,438"
1,M692,2022,OTPS,Educational Consultants,,,"$ 55,000"
2,M692,2022,OTPS,Educational Software,,,"$ 15,926"
3,M692,2022,OTPS,Equipment - General,,,"$ 76,762"
4,M692,2022,OTPS,Furniture Object 300,,,$ 899
5,M692,2022,OTPS,Library Books,,,"$ 4,870"
6,M692,2022,OTPS,Non-Contractual Services,,,"$ 12,100"
7,M692,2022,OTPS,Professional Services Other,,,"$ 116,288"
8,M692,2022,OTPS,Supplies - General,,,"$ 177,856"
9,M692,2022,OTPS,Telephone and Other Communications,,,"$ 2,000"
10,M692,2022,OTPS,Textbooks,,,"$ 30,677"
11,M692,2022,OTPS,Transportation of Staff - Non-Contract,,,$ 551
0,M692,2022,Setasides,School Funded Copier,,,"$ 10,404"
0,M692,2022,Sixth period coverage,Not Available,,,"$ 56,914"
0,M692,2022,People Working Partial Year,People Working Partial Year,,,"$ 24,045"
0,M692,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 185,525"
1,M692,2021,Leadership,AP - ORGANIZATION,1.0,,"$ 144,607"
0,M692,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 43,968"
0,M692,2021,Secretary,School Secretary,2.0,,"$ 154,880"
0,M692,2021,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 102,687"
1,M692,2021,High School Departments,ENGLISH LANGUAGE ARTS,2.0,WHOLE CLASS,"$ 218,712"
3,M692,2021,High School Departments,FL - GERMAN,1.0,WHOLE CLASS,"$ 102,687"
4,M692,2021,High School Departments,FL - SPANISH,1.0,WHOLE CLASS,"$ 102,687"
5,M692,2021,High School Departments,HUMANITIES,1.0,WHOLE CLASS,"$ 102,687"
6,M692,2021,High School Departments,MATH,7.0,WHOLE CLASS,"$ 718,809"
7,M692,2021,High School Departments,MUSIC,1.0,WHOLE CLASS,"$ 52,042"
8,M692,2021,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 205,374"
9,M692,2021,High School Departments,SCIENCE - BIOLOGY,2.0,WHOLE CLASS,"$ 205,374"
10,M692,2021,High School Departments,SCIENCE - CHEMISTRY,2.0,WHOLE CLASS,"$ 205,374"
11,M692,2021,High School Departments,SCIENCE - EARTH SCIENCE,1.0,WHOLE CLASS,"$ 102,687"
12,M692,2021,High School Departments,SCIENCE - PHYSICS,2.0,WHOLE CLASS,"$ 205,374"
13,M692,2021,High School Departments,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 410,748"
14,M692,2021,High School Departments,SPECIAL EDUCATION,1.0,SUBJECT SPECIFIC,"$ 102,687"
15,M692,2021,High School Departments,TECHNOLOGY,3.0,WHOLE CLASS,"$ 308,061"
0,M692,2021,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 147,079"
0,M692,2021,Guidance/Social Workers,Guidance Counselor,2.0,,"$ 203,832"
0,M692,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),1.0,,"$ 39,294"
0,M692,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,3.0,,"$ 217,323"
