,fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct
705,2020,05M010,M010,JHS 010 Frederick Douglas,310500010010,DOE,General Academic,Junior High-Intermediate-Middle,,"06,07,08",1969-07-01T00:00:00.000,Closed,M010,2581 7TH AVENUE,NY,1001653.0,239605.0,-73.9371,40.8243,110.0,9.0,23600.0,1020160100.0,MN03,Central Harlem North-Polo Grounds,,,212-491-4107,212-491-4414,5,5,COMMUNITY SCHOOL DISTRICT 05,Gale Reeves,,,,,,,110.0,32.0
715,2020,05M030,M030,P.S. 030 Hernandez/Hughes,310500010030,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1969-07-01T00:00:00.000,Open,M030,144-176 EAST 128 STREET,NY,1002117.0,232805.0,-73.935461,40.805653,111.0,9.0,24200.0,1017760020.0,MN34,East Harlem North,LEONNA AUSTIN,I.A. Principal,212-876-1825,212-876-4034,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,111.0,25.0
719,2020,05M036,M036,P.S. 036 Margaret Douglas,310500010036,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1967-07-01T00:00:00.000,Open,M036,123 MORNINGSIDE DRIVE,NY,996040.0,234642.0,-73.957409,40.810705,109.0,7.0,19701.0,1018500002.0,MN09,Morningside Heights,Heather Jn Baptist,Principal,212-690-5807,212-690-5811,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,109.0,26.0
728,2020,05M046,M046,P.S. 046 Arthur Tappan,310500010046,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,SE",1968-07-01T00:00:00.000,Open,M046,2987 FREDERICK DOUGLASS BOULEVARD,NY,1001883.0,242218.0,-73.9363,40.8304,110.0,9.0,24302.0,1021060050.0,MN03,Central Harlem North-Polo Grounds,Kerry ann Hazell,Principal,212-360-1519,212-360-1610,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,110.0,32.0
755,2020,05M092,M092,P.S. 092 Mary McLeod Bethune,310500010092,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1966-07-01T00:00:00.000,Open,M092,222 WEST 134 STREET,NY,999242.0,236178.0,-73.945838,40.814917,110.0,9.0,22600.0,1019390011.0,MN03,Central Harlem North-Polo Grounds,ROSA DAVILA,Principal,212-690-5915,212-690-5920,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,110.0,32.0
774,2020,05M123,M123,P.S. 123 Mahalia Jackson,310500010123,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1959-07-01T00:00:00.000,Open,M123,301 WEST 140 STREET,NY,999597.0,238109.0,-73.944551,40.820216,110.0,9.0,22102.0,1020420035.0,MN03,Central Harlem North-Polo Grounds,Melitina Hernandez,Principal,212-342-6200,212-690-5930,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,110.0,32.0
776,2020,05M125,M125,P.S. 125 Ralph Bunche,310500010125,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1925-07-01T00:00:00.000,Open,M125,425 WEST 123 STREET,NY,996507.0,234674.0,-73.955722,40.810793,109.0,7.0,20901.0,1019640012.0,MN09,Morningside Heights,Reginald Higgins,Principal,212-666-6400,212-749-1291,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,109.0,26.0
777,2020,05M125,M125,P.S. 125 Ralph Bunche,310500010125,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1925-07-01T00:00:00.000,Open,M125,425 WEST 123 STREET,NY,996507.0,234674.0,-73.955722,40.810793,109.0,7.0,20901.0,1019640012.0,MN09,Morningside Heights,Reginald Higgins,Principal,212-666-6400,212-749-1291,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,109.0,26.0
780,2020,05M129,M129,P.S. 129 John H. Finley,310500010129,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1958-07-01T00:00:00.000,Open,M129,425 WEST 130 STREET,NY,997531.0,236176.0,-73.95202,40.814914,109.0,9.0,21703.0,1019570010.0,MN06,Manhattanville,ODELPHIA PIERRE,Principal,212-690-5932,212-690-5934,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,109.0,26.0
784,2020,05M133,M133,P.S. 133 Fred R Moore,310500010133,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1949-07-01T00:00:00.000,Open,M133,2121 5 AVENUE,NY,1001087.0,234266.0,-73.939178,40.809665,111.0,9.0,20600.0,1017550001.0,MN03,Central Harlem North-Polo Grounds,Nazda Palchik Medina,Principal,212-690-5936,212-690-5939,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,111.0,25.0
