location_code,fiscal_year,budget_category,amountNum,num_positions,average_budget
M030,2018,Paraprofessionals,414942,10.0,41494.2
M030,2018,Teacher,3083121,32.0,96347.53125
M030,2019,Paraprofessionals,495617,12.0,41301.416666666664
M030,2019,Teacher,2869512,31.0,92564.90322580645
M030,2020,Paraprofessionals,543100,12.0,45258.333333333336
M030,2020,Teacher,2968446,31.0,95756.32258064517
M030,2021,Paraprofessionals,585518,12.0,48793.166666666664
M030,2021,Teacher,2609417,24.0,108725.70833333333
M030,2022,Paraprofessionals,601342,11.0,54667.454545454544
M030,2022,Teacher,2388879,22.0,108585.40909090909
M036,2018,Paraprofessionals,851642,20.0,42582.1
M036,2018,Teacher,3842379,35.8,107329.02234636873
M036,2019,Paraprofessionals,644110,16.0,40256.875
M036,2019,Teacher,3848279,34.0,113184.67647058824
M036,2020,Paraprofessionals,722068,17.0,42474.58823529412
M036,2020,Teacher,4001837,34.0,117701.08823529411
M036,2021,Paraprofessionals,841106,18.0,46728.11111111111
M036,2021,Teacher,3885662,33.0,117747.33333333333
M036,2022,Paraprofessionals,909373,20.0,45468.65
M036,2022,Teacher,3512796,28.0,125457.0
M046,2018,Paraprofessionals,365586,10.0,36558.6
M046,2018,Teacher,4505541,52.0,86645.01923076923
M046,2019,Paraprofessionals,495602,14.0,35400.142857142855
M046,2019,Teacher,4248658,49.0,86707.30612244898
M046,2020,Paraprofessionals,733482,19.0,38604.31578947369
M046,2020,Teacher,4552089,48.0,94835.1875
M046,2021,Paraprofessionals,821862,21.0,39136.28571428572
M046,2021,Teacher,4380592,44.0,99558.90909090909
M046,2022,Paraprofessionals,778260,18.0,43236.666666666664
M046,2022,Teacher,4403957,41.0,107413.58536585367
M092,2018,Paraprofessionals,478547,12.0,39878.916666666664
M092,2018,Teacher,2015320,23.0,87622.60869565218
M092,2019,Paraprofessionals,380871,11.0,34624.63636363636
M092,2019,Teacher,1960538,21.0,93358.95238095238
M092,2020,Paraprofessionals,456308,11.0,41482.545454545456
M092,2020,Teacher,1902511,19.0,100132.15789473684
M092,2021,Paraprofessionals,402448,10.0,40244.8
M092,2021,Teacher,1857571,18.0,103198.38888888889
M092,2022,Paraprofessionals,334871,7.0,47838.71428571428
M092,2022,Teacher,1681669,15.0,112111.26666666666
M123,2018,Paraprofessionals,293894,7.0,41984.857142857145
M123,2018,Teacher,3535383,41.0,86228.85365853658
M123,2019,Paraprofessionals,298754,7.0,42679.142857142855
M123,2019,Teacher,3499177,38.0,92083.6052631579
M123,2020,Paraprofessionals,354621,8.0,44327.625
M123,2020,Teacher,3813260,40.0,95331.5
M123,2021,Paraprofessionals,582304,12.0,48525.333333333336
M123,2021,Teacher,3605349,38.0,94877.6052631579
M123,2022,Paraprofessionals,319052,7.0,45578.857142857145
M123,2022,Teacher,3805881,38.0,100154.76315789473
M125,2018,Paraprofessionals,820470,21.0,39070.0
M125,2018,Teacher,1652673,17.0,97216.05882352941
M125,2019,Paraprofessionals,795074,24.0,33128.083333333336
M125,2019,Teacher,1631827,17.0,95989.82352941176
M125,2020,Paraprofessionals,1002473,24.0,41769.708333333336
M125,2020,Teacher,1959569,20.0,97978.45
M125,2021,Paraprofessionals,1043262,22.0,47421.0
M125,2021,Teacher,2042948,20.0,102147.4
M125,2022,Paraprofessionals,555891,11.0,50535.545454545456
M125,2022,Teacher,1844944,18.0,102496.88888888889
M129,2018,Paraprofessionals,603309,17.0,35488.76470588235
M129,2018,Teacher,3302492,34.0,97132.11764705883
M129,2019,Paraprofessionals,711602,17.0,41858.94117647059
M129,2019,Teacher,3633447,36.0,100929.08333333333
M129,2020,Paraprofessionals,596900,15.0,39793.333333333336
M129,2020,Teacher,3820247,36.0,106117.97222222222
M129,2021,Paraprofessionals,692374,15.0,46158.26666666667
M129,2021,Teacher,3715225,34.0,109271.32352941176
M129,2022,Paraprofessionals,603205,13.0,46400.38461538462
M129,2022,Teacher,3170783,27.0,117436.4074074074
M133,2018,Paraprofessionals,306390,9.0,34043.333333333336
M133,2018,Teacher,1559769,20.0,77988.45
M133,2019,Paraprofessionals,431447,11.0,39222.454545454544
M133,2019,Teacher,2079843,23.0,90427.95652173914
M133,2020,Paraprofessionals,425693,11.0,38699.36363636364
M133,2020,Teacher,2329274,25.0,93170.96
M133,2021,Paraprofessionals,562972,13.0,43305.53846153846
M133,2021,Teacher,2294840,26.0,88263.07692307692
M133,2022,Paraprofessionals,767665,18.0,42648.055555555555
M133,2022,Teacher,2583282,28.0,92260.07142857143
M148,2018,Paraprofessionals,102475,3.0,34158.333333333336
M148,2018,Teacher,1950752,26.0,75028.92307692308
M148,2019,Paraprofessionals,135433,4.0,33858.25
M148,2019,Teacher,2359684,34.0,69402.4705882353
M148,2020,Paraprofessionals,152788,4.0,38197.0
M148,2020,Teacher,2343856,31.0,75608.25806451614
M148,2021,Paraprofessionals,207247,7.0,29606.714285714286
M148,2021,Teacher,2384796,30.0,79493.2
M148,2022,Paraprofessionals,179868,5.0,35973.6
M148,2022,Teacher,1840438,24.0,76684.91666666667
M154,2018,Paraprofessionals,280355,7.0,40050.71428571428
M154,2018,Teacher,2096445,22.0,95292.95454545454
M154,2019,Paraprofessionals,410059,9.0,45562.11111111111
M154,2019,Teacher,2286005,24.0,95250.20833333333
M154,2020,Paraprofessionals,400342,8.0,50042.75
M154,2020,Teacher,2601015,26.0,100039.03846153847
M154,2021,Paraprofessionals,431895,9.0,47988.333333333336
M154,2021,Teacher,2432972,22.0,110589.63636363637
M154,2022,Paraprofessionals,454315,9.0,50479.444444444445
M154,2022,Teacher,2240803,21.0,106704.90476190476
M157,2018,Paraprofessionals,13578,1.0,13578.0
M157,2019,Paraprofessionals,71035,3.0,23678.333333333332
M157,2020,Paraprofessionals,117475,3.0,39158.333333333336
M157,2021,Paraprofessionals,126771,3.0,42257.0
M157,2022,Paraprofessionals,123009,3.0,41003.0
M161,2018,Paraprofessionals,873857,20.0,43692.85
M161,2018,Teacher,4991638,58.0,86062.72413793103
M161,2019,Paraprofessionals,815691,16.0,50980.6875
M161,2019,Teacher,5330857,58.0,91911.3275862069
M161,2020,Paraprofessionals,591887,16.0,36992.9375
M161,2020,Teacher,5104846,57.0,89558.70175438597
M161,2021,Paraprofessionals,673383,15.0,44892.2
M161,2021,Teacher,5395908,56.0,96355.5
M161,2022,Paraprofessionals,663191,16.0,41449.4375
M161,2022,Teacher,4998471,54.0,92564.27777777778
M175,2018,Paraprofessionals,437760,11.0,39796.36363636364
M175,2018,Teacher,1947800,21.0,92752.38095238095
M175,2019,Paraprofessionals,494435,11.0,44948.63636363636
M175,2019,Teacher,2139033,24.0,89126.375
M175,2020,Paraprofessionals,548977,12.0,45748.083333333336
M175,2020,Teacher,2105828,22.0,95719.45454545454
M175,2021,Paraprofessionals,371044,8.0,46380.5
M175,2021,Teacher,2374539,23.0,103240.82608695653
M175,2022,Paraprofessionals,160448,4.0,40112.0
M175,2022,Teacher,2165320,21.0,103110.47619047618
M194,2018,Paraprofessionals,305101,8.0,38137.625
M194,2018,Teacher,1591747,19.0,83776.15789473684
M194,2019,Paraprofessionals,330409,7.0,47201.28571428572
M194,2019,Teacher,1819275,21.0,86632.14285714286
M194,2020,Paraprofessionals,298230,7.0,42604.28571428572
M194,2020,Teacher,1806847,19.0,95097.21052631579
M194,2021,Paraprofessionals,301539,6.0,50256.5
M194,2021,Teacher,1444504,15.0,96300.26666666666
M194,2022,Paraprofessionals,198983,4.0,49745.75
M194,2022,Teacher,1261868,13.0,97066.76923076923
M197,2018,Paraprofessionals,681391,19.0,35862.68421052631
M197,2018,Teacher,2740834,28.0,97886.92857142857
M197,2019,Paraprofessionals,792887,18.0,44049.27777777778
M197,2019,Teacher,2663998,27.0,98666.5925925926
M197,2020,Paraprofessionals,762878,18.0,42382.11111111111
