DBN,2018,2019,2020,2021,Type
M030,30.0,34.0,35.0,30.0,3K-PreK
M036,69.0,92.0,42.0,54.0,3K-PreK
M046,51.0,44.0,36.0,51.0,3K-PreK
M092,18.0,17.0,10.0,15.0,3K-PreK
M123,49.0,60.0,40.0,54.0,3K-PreK
M125,34.0,36.0,31.0,21.0,3K-PreK
M129,61.0,60.0,45.0,57.0,3K-PreK
M133,27.0,47.0,41.0,39.0,3K-PreK
M148,0.0,0.0,0.0,0.0,3K-PreK
M154,50.0,65.0,32.0,51.0,3K-PreK
M157,0.0,0.0,0.0,0.0,3K-PreK
M161,0.0,0.0,0.0,0.0,3K-PreK
M175,46.0,61.0,61.0,57.0,3K-PreK
M194,10.0,18.0,8.0,6.0,3K-PreK
M197,46.0,47.0,26.0,42.0,3K-PreK
M200,64.0,82.0,55.0,61.0,3K-PreK
M285,0.0,0.0,0.0,0.0,3K-PreK
M286,0.0,0.0,0.0,0.0,3K-PreK
M304,0.0,0.0,0.0,0.0,3K-PreK
M318,0.0,0.0,0.0,0.0,3K-PreK
M362,0.0,0.0,0.0,0.0,3K-PreK
M369,0.0,0.0,0.0,0.0,3K-PreK
M371,,,0.0,0.0,3K-PreK
M499,0.0,0.0,0.0,0.0,3K-PreK
M514,0.0,0.0,0.0,0.0,3K-PreK
M517,18.0,32.0,27.0,27.0,3K-PreK
M670,0.0,0.0,0.0,0.0,3K-PreK
M692,0.0,0.0,0.0,0.0,3K-PreK
M030,223.0,202.0,170.0,141.0,K-5
M036,286.0,282.0,270.0,236.0,K-5
M046,579.0,513.0,454.0,428.0,K-5
M092,241.0,226.0,204.0,195.0,K-5
M123,422.0,401.0,378.0,376.0,K-5
M125,250.0,267.0,263.0,243.0,K-5
M129,345.0,317.0,261.0,190.0,K-5
M133,198.0,178.0,169.0,161.0,K-5
M148,374.0,382.0,325.0,265.0,K-5
M154,237.0,217.0,187.0,176.0,K-5
M157,250.0,233.0,195.0,186.0,K-5
M161,806.0,762.0,687.0,615.0,K-5
M175,301.0,282.0,260.0,233.0,K-5
M194,183.0,167.0,161.0,160.0,K-5
M197,259.0,242.0,207.0,178.0,K-5
M200,320.0,293.0,243.0,249.0,K-5
M285,216.0,213.0,161.0,191.0,K-5
M286,125.0,103.0,93.0,80.0,K-5
M304,288.0,239.0,207.0,205.0,K-5
M318,210.0,206.0,186.0,180.0,K-5
M362,718.0,698.0,700.0,654.0,K-5
M369,387.0,380.0,386.0,327.0,K-5
M371,,,78.0,131.0,K-5
M499,1257.0,1072.0,994.0,877.0,K-5
M514,142.0,138.0,135.0,100.0,K-5
M517,293.0,342.0,346.0,320.0,K-5
M670,560.0,541.0,536.0,517.0,K-5
M692,491.0,485.0,496.0,524.0,K-5
M030,3228153,2904842,2738880,2487667,Fair Student Funding
M030,634955,924557,1132875,1138401,Preschool
M036,2536942,2284676,2195126,2316867,Fair Student Funding
M036,848690,1254966,1534194,1486498,Preschool
M046,4209429,4330890,4123461,3789620,Fair Student Funding
M046,394400,627685,708677,669033,Preschool
M092,2528153,2588299,2388347,2278410,Fair Student Funding
M092,203282,217183,226278,231677,Preschool
M123,4065245,3541482,3512428,3262516,Fair Student Funding
M123,623271,698084,870278,874678,Preschool
M125,1785785,1868550,1882150,2012954,Fair Student Funding
M125,633710,423725,444701,450612,Preschool
M129,3076277,2811432,2794432,2537701,Fair Student Funding
M129,615472,1010610,938874,981650,Preschool
M133,1331829,1481237,1376434,1317244,Fair Student Funding
M133,241058,543120,1006957,916329,Preschool
M148,2565246,3107655,3417965,3215871,Fair Student Funding
M154,2346709,2086742,2128068,1847094,Fair Student Funding
M154,429673,734711,900270,910742,Preschool
M157,2081752,2190767,2362430,2198240,Fair Student Funding
M161,6080152,6288595,6184271,5858120,Fair Student Funding
M175,1965630,2189988,2103971,2051468,Fair Student Funding
M175,412544,730649,943606,879360,Preschool
M194,1874206,1935413,1694780,1609810,Fair Student Funding
M194,192296,205676,217665,209434,Preschool
M197,2052105,2050051,2094817,2025696,Fair Student Funding
M197,638180,964657,980980,931270,Preschool
M200,2685501,2541529,2423528,2054745,Fair Student Funding
M200,655414,1373316,1494104,1480728,Preschool
M285,1934463,2235245,2209838,1833873,Fair Student Funding
M286,1570696,1530701,1173271,1326404,Fair Student Funding
M302,1291342,,,,Fair Student Funding
M304,2159805,2247693,1975754,1935629,Fair Student Funding
M318,1489049,1483229,1556601,1496230,Fair Student Funding
M362,3910859,4109357,4333499,4510960,Fair Student Funding
M367,904699,,,,Fair Student Funding
M369,2542284,2700071,2832931,2967470,Fair Student Funding
M499,8356786,8430492,7819957,7347809,Fair Student Funding
M514,1408207,1469664,1582416,1554330,Fair Student Funding
M517,1699861,2018023,2358500,2642484,Fair Student Funding
M517,186653,197712,427523,427565,Preschool
M670,3475928,3827873,4150704,4326225,Fair Student Funding
M692,3847378,3881761,3966819,4052555,Fair Student Funding
