location_code,fiscal_year,total,type
M030,2018,5835002,allocations
M030,2019,5817134,allocations
M030,2020,5736135,allocations
M030,2021,5663435,allocations
M030,2022,5490561,allocations
M036,2018,6575446,allocations
M036,2019,6774786,allocations
M036,2020,6908722,allocations
M036,2021,6909623,allocations
M036,2022,7355254,allocations
M046,2018,7660059,allocations
M046,2019,8358052,allocations
M046,2020,8247303,allocations
M046,2021,8363241,allocations
M046,2022,9354042,allocations
M092,2018,4464084,allocations
M092,2019,4647008,allocations
M092,2020,4666921,allocations
M092,2021,4639564,allocations
M092,2022,4538439,allocations
M123,2018,8085767,allocations
M123,2019,7481821,allocations
M123,2020,6992685,allocations
M123,2021,6909528,allocations
M123,2022,7888131,allocations
M125,2018,4179430,allocations
M125,2019,4369867,allocations
M125,2020,4500314,allocations
M125,2021,4722599,allocations
M125,2022,4664943,allocations
M129,2018,6282598,allocations
M129,2019,6872152,allocations
M129,2020,6704155,allocations
M129,2021,6964859,allocations
M129,2022,6734296,allocations
M133,2018,4084845,allocations
M133,2019,5264604,allocations
M133,2020,5572413,allocations
M133,2021,5612812,allocations
M133,2022,6800426,allocations
M148,2018,3607798,allocations
M148,2019,4459555,allocations
M148,2020,4689835,allocations
M148,2021,5020029,allocations
M148,2022,5536022,allocations
M154,2018,4671374,allocations
M154,2019,5028860,allocations
M154,2020,5117897,allocations
M154,2021,4925651,allocations
M154,2022,5473460,allocations
M157,2018,2526384,allocations
M157,2019,3098254,allocations
M157,2020,3076108,allocations
M157,2021,3351947,allocations
M157,2022,3451310,allocations
M161,2018,9725660,allocations
M161,2019,10443155,allocations
M161,2020,10106900,allocations
M161,2021,10160252,allocations
M161,2022,10999873,allocations
M175,2018,4039284,allocations
M175,2019,4758240,allocations
M175,2020,5023833,allocations
M175,2021,5226919,allocations
M175,2022,5702106,allocations
M194,2018,3709413,allocations
M194,2019,3994243,allocations
M194,2020,3881054,allocations
M194,2021,3498453,allocations
M194,2022,3715801,allocations
M197,2018,5423520,allocations
M197,2019,6048182,allocations
M197,2020,6273400,allocations
M197,2021,6090482,allocations
M197,2022,6149422,allocations
M200,2018,6346785,allocations
M200,2019,6611262,allocations
M200,2020,6709826,allocations
M200,2021,6483722,allocations
M200,2022,7209608,allocations
M285,2018,2877923,allocations
M285,2019,3633482,allocations
M285,2020,3250627,allocations
M285,2021,3481706,allocations
M285,2022,3789547,allocations
M286,2018,2645538,allocations
M286,2019,2948390,allocations
M286,2020,2812677,allocations
M286,2021,2661741,allocations
M286,2022,3258262,allocations
M302,2018,2593688,allocations
M304,2018,3101457,allocations
M304,2019,3249239,allocations
M304,2020,2942221,allocations
M304,2021,2896498,allocations
M304,2022,3212481,allocations
M318,2018,2431536,allocations
M318,2019,2482504,allocations
M318,2020,2533279,allocations
M318,2021,2684747,allocations
M318,2022,3279244,allocations
M362,2018,5515417,allocations
M362,2019,5962430,allocations
M362,2020,6247169,allocations
M362,2021,6609906,allocations
M362,2022,7797879,allocations
M367,2018,2307228,allocations
M369,2018,3430548,allocations
M369,2019,3961444,allocations
M369,2020,4100818,allocations
M369,2021,4275869,allocations
M369,2022,5056510,allocations
M499,2018,10805281,allocations
M499,2019,11768329,allocations
M499,2020,11615487,allocations
M499,2021,11001044,allocations
M499,2022,11641805,allocations
M514,2018,2223751,allocations
M514,2019,2590858,allocations
M514,2020,2969345,allocations
M514,2021,3397587,allocations
M514,2022,3804257,allocations
M517,2018,2614019,allocations
M517,2019,3151030,allocations
M517,2020,3875322,allocations
M517,2021,3820464,allocations
M517,2022,4394981,allocations
M670,2018,5088513,allocations
M670,2019,5624037,allocations
M670,2020,6236440,allocations
M670,2021,7111222,allocations
M670,2022,7929142,allocations
M692,2018,4407113,allocations
M692,2019,4742274,allocations
M692,2020,4737902,allocations
M692,2021,4748394,allocations
M692,2022,5461980,allocations
