location_code,type,2018,2019,2020,2021,2022
M030,allocations,5835002,5817134,5736135,5663435,5490561
M030,budget,5830440,5702230,5677318,5586738,5490551
M036,allocations,6575446,6774786,6908722,6909623,7355254
M036,budget,6480667,6705048,6837152,6853434,7262792
M046,allocations,7660059,8358052,8247303,8363241,9354042
M046,budget,7620097,8325404,8239311,8357774,9320309
M092,allocations,4464084,4647008,4666921,4639564,4538439
M092,budget,4445337,4630609,4607173,4587448,4522231
M123,allocations,8085767,7481821,6992685,6909528,7888131
M123,budget,7904112,7457720,6893315,6822129,7805259
M125,allocations,4179430,4369867,4500314,4722599,4664943
M125,budget,4117817,4364282,4408817,4661088,4634820
M129,allocations,6282598,6872152,6704155,6964859,6734296
M129,budget,6278359,6852478,6500134,6951196,6715505
M133,allocations,4084845,5264604,5572413,5612812,6800426
M133,budget,4084840,5262284,5470885,5581077,6641533
M148,allocations,3607798,4459555,4689835,5020029,5536022
M148,budget,3605978,4418746,4620684,4950723,5394196
M154,allocations,4671374,5028860,5117897,4925651,5473460
M154,budget,4662596,4922559,5073177,4916809,5440268
M157,allocations,2526384,3098254,3076108,3351947,3451310
M157,budget,2522803,3079172,3085686,3351371,3447767
M161,allocations,9725660,10443155,10106900,10160252,10999873
M161,budget,9700059,10412717,9932876,10111703,10777549
M175,allocations,4039284,4758240,5023833,5226919,5702106
M175,budget,4021239,4747165,4908706,5221118,5607007
M194,allocations,3709413,3994243,3881054,3498453,3715801
M194,budget,3672276,3991460,3745782,3393555,3649826
M197,allocations,5423520,6048182,6273400,6090482,6149422
M197,budget,5400781,5953118,6160330,6079972,6088403
M200,allocations,6346785,6611262,6709826,6483722,7209608
M200,budget,6304897,6489695,6582806,6468040,7004984
M285,allocations,2877923,3633482,3250627,3481706,3789547
M285,budget,2853068,3588458,3219623,3481692,3594542
M286,allocations,2645538,2948390,2812677,2661741,3258262
M286,budget,2643435,2934162,2762261,2645059,3088985
M302,allocations,2593688,,,,
M302,budget,2565430,,,,
M304,allocations,3101457,3249239,2942221,2896498,3212481
M304,budget,3044219,3220988,2885619,2882986,3179020
M318,allocations,2431536,2482504,2533279,2684747,3279244
M318,budget,2410537,2468947,2525432,2684598,3259777
M362,allocations,5515417,5962430,6247169,6609906,7797879
M362,budget,5481041,5902084,6182844,6591408,7760658
M367,allocations,2307228,,,,
M367,budget,2102830,,,,
M369,allocations,3430548,3961444,4100818,4275869,5056510
M369,budget,3425343,3959011,4095673,4275840,5033497
M499,allocations,10805281,11768329,11615487,11001044,11641805
M499,budget,10786013,11714004,11358448,10722744,11461424
M514,allocations,2223751,2590858,2969345,3397587,3804257
M514,budget,2147803,2517777,2899317,3376592,3534419
M517,allocations,2614019,3151030,3875322,3820464,4394981
M517,budget,2581436,3153974,3805984,3799161,4380284
M670,allocations,5088513,5624037,6236440,7111222,7929142
M670,budget,5070746,5622715,5930621,7056062,7876366
M692,allocations,4407113,4742274,4737902,4748394,5461980
M692,budget,4394142,4644996,4726927,4748351,5272509
