,memorandum_category,galaxy_title
0,Arts Supplemental Funding through Fair Student Funding,TL Fair Student Funding
1,Arts Supplemental Funding through Fair Student Funding,TL Fair Student Funding HS
2,Career and Technical Education Supplement,TL STEAM HS
3,Career and Technical Education Supplement,TL CTE Programs HS
4,ELA and Math Supplemental Support Services,TL ELA/Math Student Support
5,ELA and Math Supplemental Support Services,Title IV Well Rounded ELA Math Support
6,Contract for Excellence,Contract for Excellence FY 09 HS
7,Contract for Excellence,TL CB School Staff
8,Contract for Excellence,Contract for Excellence FY 09
9,Collective Bargaining for School Based Staff,TL CB School Staff CW
10,Collective Bargaining for School Based Staff,TL CB School Staff D79
11,Collective Bargaining for School Based Staff,TL CB School Staff
12,Summer In the City,TL RS Student Summer in the City Services
13,Summer In the City,ESY Student Summer in the City Services RS
14,Title I School Allocations,Title I TA Carry Over
15,Title I School Allocations,Title I SWP
16,Title I School Allocations,Title I 1003a TSI/CSI PS
17,Title I School Allocations,Title I STH Non Title I Schools Carry Over
18,Title I School Allocations,Title I 1003a TSI/CSI OTPS
19,Title I School Allocations,Title I Targeted Assistance
20,Title I School Allocations,Title I CSI Participatory Budget
21,Title I School Allocations,High Need Support for Title I
22,Title I School Allocations,Title I STH Carry Over
23,Title I School Allocations,Title I STH
24,Title I School Allocations,Title I STH for Non Title I Schools
25,Title I School Allocations,Title I SWP Parent and Family Engagement
26,Title I School Allocations,High Need Support for Title I STH
27,Title I School Allocations,Title I SWP Carry Over
28,Title I School Allocations,Title I TA Parent and Family Engagement
29,Parent Coordinator Allocation,TL Parent Coordinator HS
30,Parent Coordinator Allocation,TL Parent Coordinator OTPS CW
31,Parent Coordinator Allocation,TL Parent Coordinator HS – Flexible
32,Parent Coordinator Allocation,TL Parent Coordinator CW
33,Parent Coordinator Allocation,TL Parent Coordinator OTPS HS
34,Parent Coordinator Allocation,TL Parent Coordinator OTPS
35,Parent Coordinator Allocation,TL Parent Coordinator
36,Parent Coordinator Allocation,TL Parent Coordinator HS - Contracted
37,Parent Coordinator Allocation,TL Parent Coordinator - Contracted
38,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Library Books HS
39,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",
40,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Software HS
41,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Textbooks CW
42,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Hardware
43,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",                        NYCDOE Division of Finance Website Navigation
44,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Hardware HS
45,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Library Books CW
46,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Software
47,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Textbooks HS
48,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Library Books
49,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Textbooks
50,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds", 
51,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Hardware CW
52,"New       York State Textbook Law (NYSTL), Library, Hardware and Computer Software       (NYSSL) Funds",TL NYSTL Software CW
53,Section 504 Paraprofessional,TL Section 504
54,Individualized Education Program (IEP)/Intervention Teacher Allocation,TL RS IEP TEACHER
55,Individualized Education Program (IEP)/Intervention Teacher Allocation,TL RS IEP TEACHER HS
56,Individualized Education Program (IEP) Paraprofessional Allocation,TL RS IEP Para
57,Individualized Education Program (IEP) Paraprofessional Allocation,IDEA RS IEP Para
58,Individualized Education Program (IEP) Paraprofessional Allocation,TL CFES Open Schools Paras
59,"Mandated Related Services - (Speech, Counseling, OT/PT)",TL RS Mandated Counseling Shared
60,"Mandated Related Services - (Speech, Counseling, OT/PT)",TL RS Mandated Speech Shared
61,"Mandated Related Services - (Speech, Counseling, OT/PT)",TL RS Occupational Therapist PS Shared
62,"Mandated Related Services - (Speech, Counseling, OT/PT)",TL RS Physical Therapist PS Shared
63,Adapted Physical Education,TL RS APE Teacher Shared
64,"Specialized Programs - (ASD, BSE, ACES, Access)",TL Summer in the City ASD
65,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program ICT Literacy
66,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program ACES
67,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program Access
68,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program BSE
69,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Programs C4E ASD
70,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Programs ASD
71,Supports for Citywide Special Education,TL Vision and Hearing Coverage
72,Supports for Citywide Special Education,TL Part Time Inclusion
73,Continuous Improvement Programs,TL CB School Staff
74,Continuous Improvement Programs,TL Continuous Improvement Receivership
75,Continuous Improvement Programs,TL Continuous Improvement
76,Continuous Improvement Programs,TL Continuous Improvement HS
77,Continuous Improvement Programs,TL Continuous Improvement Receivership HS
78,Title IV Programs,Title IV ED Tech
79,Title IV Programs,Rollover Title IV Community Coordinator
80,Title IV Programs,Title IV Community Coordinator
81,Title IV Programs,Title IV Community Coordinator allocation
82,Title IV Programs,Title IV ED Tech Teams
83,Title IV Programs,Title IV Community Schools
84,OTPS for New Schools,TL OTPS New Schools
85,OTPS for New Schools,TL OTPS New Schools HS
86,Pre-K and 3-K for All Programs in District Schools,Contract for Excellence FY 09 Pre-K
87,Pre-K and 3-K for All Programs in District Schools,4K for ALL
88,Pre-K and 3-K for All Programs in District Schools,3K SCIS Classes
89,Pre-K and 3-K for All Programs in District Schools,RS Pre-K Special Classes
90,Pre-K and 3-K for All Programs in District Schools,Pre-K Special Classes
