,location_code,fiscal_year,budget_category,num_positions,prev year,Total Enrollment,STATE LOCATION ID,Previous Year Total Enrollment
0,K001,2018,Leadership,4.0,2017,1201.0,331500010001.0,1297.0
1,K001,2018,Paraprofessionals,30.0,2017,1201.0,331500010001.0,1297.0
2,K001,2018,Teacher,81.0,2017,1201.0,331500010001.0,1297.0
3,K001,2019,Leadership,4.0,2018,1087.0,331500010001.0,1201.0
4,K001,2019,Paraprofessionals,20.0,2018,1087.0,331500010001.0,1201.0
5,K001,2019,Teacher,79.0,2018,1087.0,331500010001.0,1201.0
6,K001,2020,Leadership,3.0,2019,948.0,331500010001.0,1087.0
7,K001,2020,Paraprofessionals,15.0,2019,948.0,331500010001.0,1087.0
8,K001,2020,Teacher,70.0,2019,948.0,331500010001.0,1087.0
9,K001,2021,Leadership,4.0,2020,847.0,331500010001.0,948.0
10,K001,2021,Paraprofessionals,17.0,2020,847.0,331500010001.0,948.0
11,K001,2021,Teacher,67.0,2020,847.0,331500010001.0,948.0
12,K001,2022,Leadership,4.0,2021,754.0,331500010001.0,847.0
13,K001,2022,Paraprofessionals,11.0,2021,754.0,331500010001.0,847.0
14,K001,2022,Teacher,65.0,2021,754.0,331500010001.0,847.0
15,K001,2023,Leadership,4.0,2022,,331500010001.0,754.0
16,K001,2023,Paraprofessionals,14.0,2022,,331500010001.0,754.0
17,K001,2023,Teacher,59.0,2022,,331500010001.0,754.0
18,K002,2018,Leadership,3.0,2017,473.0,331700010002.0,493.0
19,K002,2018,Paraprofessionals,6.0,2017,473.0,331700010002.0,493.0
20,K002,2018,Teacher,32.0,2017,473.0,331700010002.0,493.0
21,K002,2019,Leadership,4.0,2018,437.0,331700010002.0,473.0
22,K002,2019,Paraprofessionals,6.0,2018,437.0,331700010002.0,473.0
23,K002,2019,Teacher,32.0,2018,437.0,331700010002.0,473.0
24,K002,2020,Leadership,3.0,2019,413.0,331700010002.0,437.0
25,K002,2020,Paraprofessionals,6.0,2019,413.0,331700010002.0,437.0
26,K002,2020,Teacher,31.0,2019,413.0,331700010002.0,437.0
27,K002,2021,Leadership,3.0,2020,355.0,331700010002.0,413.0
28,K002,2021,Paraprofessionals,6.0,2020,355.0,331700010002.0,413.0
29,K002,2021,Teacher,28.0,2020,355.0,331700010002.0,413.0
30,K002,2022,Leadership,3.0,2021,311.0,331700010002.0,355.0
31,K002,2022,Paraprofessionals,5.0,2021,311.0,331700010002.0,355.0
32,K002,2022,Teacher,29.0,2021,311.0,331700010002.0,355.0
33,K002,2023,Leadership,3.0,2022,,331700010002.0,311.0
34,K002,2023,Paraprofessionals,4.0,2022,,331700010002.0,311.0
35,K002,2023,Teacher,27.0,2022,,331700010002.0,311.0
36,K003,2018,Leadership,2.0,2017,349.0,331300010003.0,393.0
