school_code,2018,2019,2020,2021,2022,2023
M040,done,done,done,done,done,done
M142,done,done,done,done,done,done
K953,done,done,done,done,done,done
K284,done,done,done,done,done,done
K898,done,done,done,done,done,done
K907,done,done,done,done,done,done
Q376,done,done,done,done,done,done
Q384,done,done,done,done,done,done
M184,done,done,done,done,done,done
M064,done,done,done,done,done,done
M020,done,done,done,done,done,done
Q379,done,done,done,done,done,done
K936,done,done,done,done,done,done
Q390,done,done,done,done,done,done
M140,done,done,done,done,done,done
X595,done,done,done,done,done,done
Q398,done,done,done,done,done,done
M134,done,done,done,done,done,done
M310,done,done,done,done,done,done
X593,done,done,done,done,done,done
K896,done,done,done,done,done,done
M034,done,done,done,done,done,done
X596,done,done,done,done,done,done
K889,done,done,done,done,done,done
M110,done,done,done,done,done,done
K938,done,done,done,done,done,done
K915,done,done,done,done,done,done
M297,done,done,done,done,done,done
X594,done,done,done,done,done,done
X360,done,done,done,done,done,done
K253,done,done,done,done,done,done
X584,done,done,done,done,done,done
K890,done,done,done,done,done,done
X625,done,done,done,done,done,done
M063,done,done,done,done,done,done
Q377,done,done,done,done,done,done
X583,done,done,done,done,done,done
M188,done,done,done,done,done,done
K939,done,done,done,done,done,done
M371,done,done,done,done,done,done
M015,done,done,done,done,done,done
M019,done,done,done,done,done,done
M292,done,done,done,done,done,done
M315,done,done,done,done,done,done
M332,done,done,done,done,done,done
M361,done,done,done,done,done,done
M363,done,done,done,done,done,done
M364,done,done,done,done,done,done
M378,done,done,done,done,done,done
M448,done,done,done,done,done,done
M450,done,done,done,done,done,done
M458,done,done,done,done,done,done
M515,done,done,done,done,done,done
M539,done,done,done,done,done,done
M650,done,done,done,done,done,done
M696,done,done,done,done,done,done
M839,done,done,done,done,done,done
M001,done,done,done,done,done,done
M002,done,done,done,done,done,done
M003,done,done,done,done,done,done
M006,done,done,done,done,done,done
M011,done,done,done,done,done,done
M033,done,done,done,done,done,done
M041,done,done,done,done,done,done
M042,done,done,done,done,done,done
M047,done,done,done,done,done,done
M051,done,done,done,done,done,done
M059,done,done,done,done,done,done
M077,done,done,done,done,done,done
M089,done,done,done,done,done,done
M104,done,done,done,done,done,done
M111,done,done,done,done,done,done
M114,done,done,done,done,done,done
M116,done,done,done,done,done,done
M124,done,done,done,done,done,done
M126,done,done,done,done,done,done
M130,done,done,done,done,done,done
M131,done,done,done,done,done,done
M135,done,done,done,done,done,done
M139,done,done,done,done,done,done
M150,done,done,done,done,done,done
M151,done,done,done,done,done,done
M158,done,done,done,done,done,done
M167,done,done,done,done,done,done
M177,done,done,done,done,done,done
M183,done,done,done,done,done,done
M198,done,done,done,done,done,done
M212,done,done,done,done,done,done
M217,done,done,done,done,done,done
M225,done,done,done,done,done,done
M234,done,done,done,done,done,done
M255,done,done,done,done,done,done
M260,done,done,done,done,done,done
,,,,,,
M267,done,done,done,done,done,done
M276,done,done,done,done,done,done
M280,done,done,done,done,done,done
M281,done,done,done,done,done,done
M282,done,done,done,done,done,done
M288,done,done,done,done,done,done
M289,done,done,done,done,done,done
M290,done,done,done,done,done,done
M294,done,done,done,done,done,done
M296,done,done,done,done,done,done
M298,done,done,done,done,done,done
M300,done,done,done,done,done,done
M303,done,done,done,done,done,done
M305,done,done,done,done,done,done
M308,done,done,done,done,done,done
M312,done,done,done,done,done,done
M313,done,done,done,done,done,done
M316,done,done,done,done,done,done
M340,done,done,done,done,done,done
M343,done,done,done,done,done,done
M347,done,done,done,done,done,done
M374,done,done,done,done,done,done
M376,done,done,done,done,done,done
M392,done,done,done,done,done,done
M393,done,done,done,done,done,done
M394,done,done,done,done,done,done
M397,done,done,done,done,done,done
M399,done,done,done,done,done,done
M400,done,done,done,done,done,done
M407,done,done,done,done,done,done
M408,done,done,done,done,done,done
